LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
75m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-4l9pn    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-4l9pn to worker-node-1
75m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-hfxsl    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-hfxsl to worker-node-1
75m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-4l9pn
75m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-jbsnw
75m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-hfxsl
75m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-jbsnw    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-jbsnw to worker-node-2
75m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-76ddf5fcf9 from 0 to 3
75m         Normal    Pulling             pod/web-deployment-76ddf5fcf9-hfxsl    Pulling image "nginx:1.30-alpine"
75m         Normal    Created             pod/web-deployment-76ddf5fcf9-jbsnw    Container created
75m         Normal    Started             pod/web-deployment-76ddf5fcf9-jbsnw    Container started
75m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-jbsnw    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
75m         Normal    Pulling             pod/web-deployment-76ddf5fcf9-4l9pn    Pulling image "nginx:1.30-alpine"
74m         Normal    Created             pod/web-deployment-76ddf5fcf9-hfxsl    Container created
74m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-hfxsl    Successfully pulled image "nginx:1.30-alpine" in 27.396s (27.396s including waiting). Image size: 26064016 bytes.
74m         Normal    Started             pod/web-deployment-76ddf5fcf9-hfxsl    Container started
74m         Normal    Started             pod/web-deployment-76ddf5fcf9-4l9pn    Container started
74m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-4l9pn    Successfully pulled image "nginx:1.30-alpine" in 6.933s (34.33s including waiting). Image size: 26064016 bytes.
74m         Normal    Created             pod/web-deployment-76ddf5fcf9-4l9pn    Container created
73m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-khcdp    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-khcdp to worker-node-2
73m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-khcdp
73m         Normal    Killing             pod/web-deployment-76ddf5fcf9-4l9pn    Stopping container web
73m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-khcdp    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
73m         Normal    Created             pod/web-deployment-76ddf5fcf9-khcdp    Container created
73m         Normal    Started             pod/web-deployment-76ddf5fcf9-khcdp    Container started
73m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-mp4j2    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-mp4j2 to worker-node-1
73m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-thw9l
73m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-mp4j2
73m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-76ddf5fcf9 from 3 to 5
73m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-thw9l    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-thw9l to worker-node-2
73m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-mp4j2    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
73m         Normal    Created             pod/web-deployment-76ddf5fcf9-mp4j2    Container created
73m         Normal    Started             pod/web-deployment-76ddf5fcf9-mp4j2    Container started
73m         Normal    Started             pod/web-deployment-76ddf5fcf9-thw9l    Container started
73m         Normal    Created             pod/web-deployment-76ddf5fcf9-thw9l    Container created
73m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-thw9l    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
70m         Normal    Killing             pod/web-deployment-76ddf5fcf9-thw9l    Stopping container web
70m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-76ddf5fcf9 from 5 to 3
70m         Normal    Killing             pod/web-deployment-76ddf5fcf9-khcdp    Stopping container web
70m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-thw9l
70m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-khcdp
68m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-ddd46bfd from 0 to 1
68m         Normal    Scheduled           pod/web-deployment-ddd46bfd-9cwv4      Successfully assigned dso202-practical-01/web-deployment-ddd46bfd-9cwv4 to worker-node-2
68m         Normal    SuccessfulCreate    replicaset/web-deployment-ddd46bfd     Created pod: web-deployment-ddd46bfd-9cwv4
68m         Normal    Pulling             pod/web-deployment-ddd46bfd-9cwv4      Pulling image "nginx:1.31-alpine"
67m         Normal    Started             pod/web-deployment-ddd46bfd-9cwv4      Container started
67m         Normal    Pulled              pod/web-deployment-ddd46bfd-9cwv4      Successfully pulled image "nginx:1.31-alpine" in 27.809s (27.809s including waiting). Image size: 26279045 bytes.
67m         Normal    Created             pod/web-deployment-ddd46bfd-9cwv4      Container created
67m         Normal    SuccessfulCreate    replicaset/web-deployment-ddd46bfd     Created pod: web-deployment-ddd46bfd-vmfv9
67m         Normal    Killing             pod/web-deployment-76ddf5fcf9-mp4j2    Stopping container web
67m         Normal    Scheduled           pod/web-deployment-ddd46bfd-vmfv9      Successfully assigned dso202-practical-01/web-deployment-ddd46bfd-vmfv9 to worker-node-1
67m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-ddd46bfd from 1 to 2
67m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-mp4j2
67m         Normal    Pulling             pod/web-deployment-ddd46bfd-vmfv9      Pulling image "nginx:1.31-alpine"
66m         Normal    Pulled              pod/web-deployment-ddd46bfd-vmfv9      Successfully pulled image "nginx:1.31-alpine" in 49.715s (49.715s including waiting). Image size: 26279045 bytes.
66m         Normal    Created             pod/web-deployment-ddd46bfd-vmfv9      Container created
66m         Normal    Started             pod/web-deployment-ddd46bfd-vmfv9      Container started
66m         Normal    SuccessfulCreate    replicaset/web-deployment-ddd46bfd     Created pod: web-deployment-ddd46bfd-55r79
66m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-jbsnw
66m         Normal    Scheduled           pod/web-deployment-ddd46bfd-55r79      Successfully assigned dso202-practical-01/web-deployment-ddd46bfd-55r79 to worker-node-2
66m         Normal    Killing             pod/web-deployment-76ddf5fcf9-jbsnw    Stopping container web
66m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-ddd46bfd from 2 to 3
66m         Normal    Pulled              pod/web-deployment-ddd46bfd-55r79      Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
66m         Normal    Created             pod/web-deployment-ddd46bfd-55r79      Container created
66m         Normal    Started             pod/web-deployment-ddd46bfd-55r79      Container started
66m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-hfxsl
66m         Normal    Killing             pod/web-deployment-76ddf5fcf9-hfxsl    Stopping container web
65m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-bfzjx
65m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-bfzjx    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-bfzjx to worker-node-1
65m         Normal    Started             pod/web-deployment-76ddf5fcf9-bfzjx    Container started
65m         Normal    Created             pod/web-deployment-76ddf5fcf9-bfzjx    Container created
