LAST SEEN   TYPE      REASON                         OBJECT                                    MESSAGE
5h3m        Normal    Started                        pod/webnote-0                             Container started
5h3m        Normal    Pulled                         pod/webnote-0                             Successfully pulled image "nginx:1.30-alpine" in 1m14.186s (1m14.186s including waiting). Image size: 28557254 bytes.
5h3m        Normal    Created                        pod/webnote-0                             Container created
5h3m        Normal    ExternalProvisioning           persistentvolumeclaim/content-webnote-1   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
5h3m        Normal    WaitForFirstConsumer           persistentvolumeclaim/content-webnote-1   waiting for first consumer to be created before binding
5h3m        Normal    SuccessfulCreate               statefulset/webnote                       Create Claim content-webnote-1 Pod webnote-1 in StatefulSet webnote success
5h3m        Normal    Provisioning                   persistentvolumeclaim/content-webnote-1   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-1"
5h3m        Normal    ProvisioningSucceeded          persistentvolumeclaim/content-webnote-1   Successfully provisioned volume pvc-13835d42-afee-4052-9ce0-87e5f96e45d2
5h3m        Normal    Scheduled                      pod/webnote-1                             Successfully assigned dso202-practical-02/webnote-1 to worker-node-1
5h3m        Normal    Pulled                         pod/webnote-1                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
5h3m        Normal    Started                        pod/webnote-1                             Container started
5h3m        Normal    Created                        pod/webnote-1                             Container created
5h3m        Normal    Pulling                        pod/webnote-1                             Pulling image "nginx:1.30-alpine"
5h3m        Normal    Pulled                         pod/webnote-1                             Successfully pulled image "nginx:1.30-alpine" in 18.029s (18.029s including waiting). Image size: 28557254 bytes.
5h3m        Normal    Created                        pod/webnote-1                             Container created
5h3m        Normal    Started                        pod/webnote-1                             Container started
5h3m        Normal    Provisioning                   persistentvolumeclaim/content-webnote-2   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-2"
5h3m        Normal    ExternalProvisioning           persistentvolumeclaim/content-webnote-2   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
5h3m        Normal    WaitForFirstConsumer           persistentvolumeclaim/content-webnote-2   waiting for first consumer to be created before binding
5h3m        Normal    SuccessfulCreate               statefulset/webnote                       Create Claim content-webnote-2 Pod webnote-2 in StatefulSet webnote success
5h3m        Normal    ProvisioningSucceeded          persistentvolumeclaim/content-webnote-2   Successfully provisioned volume pvc-7d77bda2-331d-412e-b54c-186fdea4d26c
5h3m        Normal    Scheduled                      pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-2
5h3m        Normal    Started                        pod/webnote-2                             Container started
5h3m        Normal    Pulled                         pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
5h3m        Normal    Created                        pod/webnote-2                             Container created
5h3m        Normal    Pulled                         pod/webnote-2                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
5h3m        Normal    Created                        pod/webnote-2                             Container created
